subject,text,priority,queue
Dell PowerEdge T40 Server – Lüftergeräusch,"Sehr geehrte Damen und Herren, ich habe einen Dell PowerEdge T40 Server bei Ihnen gekauft (Bestell-Nr. 782341), und der Lüfter macht ein ungewöhnlich lautes Geräusch. Was könnte die Ursache sein und wie kann das behoben werden? Ich freue mich auf eine schnelle Antwort. Vielen Dank! Mit freundlichen Grüßen, Simge Hager",2,Hardware
Dringende arbeitsrechtliche Einschätzung für Mitarbeiteranfrage,"Sehr geehrte Damen und Herren, ich benötige dringend Ihre fachliche Einschätzung zu einer arbeitsrechtlichen Angelegenheit bezüglich eines unserer Mitarbeiter. Dieser hat eine Anfrage gestellt, die sofortige rechtliche Klärung erfordert. Bitte setzen Sie sich umgehend mit mir in Verbindung. Danke. Beste Grüße, Svenja Both",3,Buchhaltung
Änderung der Betriebsanschrift in den Rechnungen,"Sehr geehrtes Buchhaltungsteam,

ich möchte Sie bitten, ab der nächsten Rechnung unsere neue Betriebsanschrift zu verwenden: Industriestraße 15, 80331 München. Die geänderte Adresse sollte in allen zukünftigen Abrechnungen berücksichtigt werden. Es ist nicht dringend, aber sobald es möglich ist, bitte aktualisieren.

Vielen Dank für Ihre Unterstützung!

Mit freundlichen Grüßen,
Liane Hase",1,Buchhaltung
Problem mit Converter - Überhitzt,"Hallo Kundensupport, mein kürzlich bei Ihnen erworbener Converter überhitzt sehr schnell und shut da schon runter. Worand könnte das liehn? Bitte prüfen! Celik Schenk",1,Hardware
Wix eCommerce gibt kritischen Fehler bei Zahlungsabwicklung,"Sehr geehrte Damen und Herren, beim Abschluss von Bestellungen auf meinem Wix eCommerce Shop wird ein kritischer Fehler angezeigt und keine Zahlungen verarbeitet. Da ich den Shop dringend benötige, bitte ich um schnelle Hilfe, vielen Dank. Mit freundlichen Grüßen, Jana Celik",3,Software
Frage zur Gehaltsabrechnung für Dezember 2023,"Sehr geehrte Damen und Herren, ich möchte wissen, wann ich die Gehaltsabrechnung für Dezember 2023 erhalten werde. Vielen Dank für Ihre Hilfe. Beste Grüße, Tomasz Lauterbach",1,Buchhaltung
Probleme mit XP-Pen Artist 12 Pro,"Hallo Support-Team, mein XP-Pen Artist 12 Pro reagiert seit gestern nicht mehr auf Berührungen. Ich habe bereits die Treiber neu installiert, ohne Erfolg. Bitte um Hilfe.",2,Hardware
Frage zur Angabe eines anderen Unternehmensnamens auf der nächsten Rechnung,"Sehr geehrtes Buchhaltungsteam,

könnten Sie auf meiner nächsten Rechnung bitte den neuen Unternehmensnamen ‚Böhm IT Solutions GmbH‘ angeben? Würde mir erheblich bei der Buchführung helfen.

Vielen Dank im Voraus,
Henning Böhm",1,Buchhaltung
AMD Ryzen 9 5950X nicht mehr funktionsfähig,"Hallo, mein AMD Ryzen 9 5950X funktioniert nicht mehr nach dem letzten Update. Dringend Hilfe!",3,Hardware
Änderung des Firmennamens auf der Rechnung,"Hallo Team, könnte der Firmenname auf der nächsten Rechnung auf 'Teichert Technologies GmbH' geändert werden? Es ist keine dringende Angelegenheit. Dankeschön!",1,Buchhaltung
Frage zur Ausgangssicherheit von Abrechnungen,"Sehr geehrte Damen und Herren, könnten Sie mir erklären, wie die Sicherheit unserer Ausgangsrechnungen gemäß den aktuellen Richtlinien gewährleistet wird? Danke, Nedim Aydin",1,Buchhaltung
Wi-Fi Antenna fällt aus - dringende Hilfe benötigt,"Hallo Kundensupport, meine Wi-Fi Antenna, die ich von Ihrem Online-Shop gekauft habe, fällt ständig aus. Ich habe versucht, sie an verschiedenen Standorten und mit unterschiedlichen Netzwerken zu testen, aber ohne Erfolg. Dies stört meine berufliche Tätigkeit erheblich, daher benötige ich dringend eine Lösung oder einen Austausch. Vielen Dank für Ihre schnelle Rückmeldung. Mit freundlichen Grüßen, Svenja Schmitt.",3,Hardware
Problem mit der Software Expense Tracking,"Hallo, ich finde eine Funktion in Expense Tracking nicht.",2,Software
Dringende Klärung Schulungskosten,"Sehr geehrte Damen und Herren, ich benötige dringend eine Kostenübersicht für alle Schulungen, die im letzten Quartal vom Personalentwicklungsteam beantragt und bewilligt wurden. Es ist für unseren Monatsbericht sehr wichtig. Besten Dank! Mit freundlichen Grüßen, Maike Krüger",3,Buchhaltung
Angel Investing Update Problem,"Hallo Support, ich benutze die Software Angel Investing seit einigen Monaten und bin sehr zufrieden. Seit dem letzten Update habe ich jedoch Probleme beim Öffnen bestimmter Funktionen, insbesondere beim Zugriff auf Reports. Es erscheinen Fehlermeldungen, und ich kann meine Berichte nicht einsehen. Könnt ihr das bitte überprüfen? Danke, Željko Rüdiger.",2,Software
Dringendes Problem mit Survey Software - Fehler 503,"Sehr geehrte Damen und Herren, ich verwende momentan Ihre Survey Software für mein Unternehmen und seit heute morgen erhalte ich dauernd Fehlermeldungen (Fehler 503 - Service Unavailable). Dies hinderte uns daran, wichtige Kundenumfragen fortzuführen, was schwerwiegende Auswirkungen auf Projekte hat. Bitte helfen Sie uns schnellstmöglich, da wir sonst massive Einbußen haben werden. Freundliche Grüße, Bojana Wessel",3,Software
Frage zu Bugfixes in iSpring Suite,"Hallo Support-Team,

ich habe Probleme bei der Verwendung von iSpring Suite. Einige Features scheinen fehlerhaft zu sein, und mein Team kann bestimmte Präsentationen nicht korrekt exportieren. Gibt es bereits bekannte Bugfixes oder Updates, die diese Probleme beheben können?

Vielen Dank im Voraus,
Nunzia Thiele
",2,Software
Anfrage Karriereberatung,"Kann ich für eine Weiterbildung Unterstützung beantragen? Bitte um Rückmeldung, danke!",1,Buchhaltung
Fragen zum Arbeitsvertrag,"Sehr geehrte Damen und Herren,

ich habe ein paar Fragen zu meinem Arbeitsvertrag und hätte gerne eine Klärung, ob ich Anspruch auf eine bestimmte Leistungszulage in speziellen Situationen habe. Zudem möchte ich wissen, ob es in meiner Branche spezifische Rechtsvorschriften gibt, die mir zusätzliche Vorteile gewähren könnten. Ich würde mich über eine zeitnahe Rückmeldung freuen.

Mit freundlichen Grüßen,
Dieter Seifert",1,Buchhaltung
Kleine Unregelmäßigkeiten in Business Intelligence-Software,"Sehr geehrte Damen und Herren, ich habe kürzlich einige kleine Unregelmäßigkeiten in der Business Intelligence-Software bemerkt. Einige Berichte laden langsamer als gewöhnlich und es gibt leichte Anzeigefehler in den Grafiken. Es beeinträchtigt derzeit nicht meine Arbeit, aber ich wollte sicherstellen, dass firm Ihnen bewusst bin. Mit freundlichen Grüßen, Evi Ilhan",1,Software
Frage zur nächsten Rechnung,"Hallo Kundensupport, ich benötige für unsere nächste Rechnung eine Angabe eines abweichenden Unternehmensnamens. Ist dies möglich? Lassen Sie mich bitte wissen, was hierfür erforderlich ist. Vielen Dank! Grüße, Nina Kuhn",1,Buchhaltung
[Fehler] – Probleme mit Zcash Software,"Sehr geehrte Damen und Herren, seit dem letzten Update der Zcash Software stürzt diese ständig ab. Ich kann dadurch leider keine Transaktionen mehr durchführen. Was kann ich tun? Mit freundlichen Grüßen, Sonja Özdemir",2,Software
Mitarbeiteranfrage – Arbeitsrechtliche Klärung,"Sehr geehrte Damen und Herren, könnten Sie mir bitte die Formulare zur Arbeitszeiterfassung sowie die rechtlichen Hinweise zu Pausenregelungen zusenden? Vielen Dank im Voraus! MfG, Anca Schultze",2,Buchhaltung
"Probleme mit dem Soundbar-Produkt, Bitte um Unterstützung","Guten Tag,
ich habe kürzlich eine Soundbar bei Ihnen erworben und bemerkt ein gelegentliches Knistern während der Audio-Wiedergabe. Ich wollte mich erkundigen, ob es bekannt ist und welche Lösungsmöglichkeiten es gibt. Besten Dank im Voraus,
Elke Lorenz",1,Hardware
Microsoft Surface Pro 8 Bildschirmflimmern,"Hallo Support-Team, mein Microsoft Surface Pro 8 zeigt seit Kurzem ein konstantes Bildschirmflimmern, das sehr störend ist. Können Sie mir bitte baldmöglichst eine Lösung anbieten? Danke! Jules He",2,Hardware
Korrektur der Rechnung für kommenden Monat,"Hallo, könnte auf meiner nächsten Rechnung, die Firmenadresse geändert werden? Neue Adresse folgt per Post. Beste Grüße, Mark Paul",1,Buchhaltung
Frage zu Salesforce Admin Console Update,"Hallo Support-Team, könnt ihr mir eine Anleitung schicken, wie ich ein Minor-Update bei der Salesforce Admin Console einspielen kann? Danke, Pippi Christian",1,Software
Monitor funktioniert nicht richtig,"Sehr geehrter Kundenservice,

mein externer Monitor (Produktnummer: EXM123456) von Ihrer Firma zeigt seit gestern ein merkwürdiges Verhalten. Manchmal bleibt der Bildschirm schwarz, obwohl die Kontrollleuchte aktiv ist und der Computer korrekt funktioniert. Ich habe bereits sämtliche Kabel ausgetauscht und überprüft, der Fehler bleibt jedoch bestehen. Könnten Sie mir bitte weiterhelfen?

Beste Grüße,
Kathi Bock",2,Hardware
Fragestellung: Smart-Ladestation Firmware-Update,"Sehr geehrtes Team, meine Smart-Ladestation funktioniert einwandfrei, aber ich habe gelesen, dass ein neues Firmware-Update verfügbar ist. Besteht die Möglichkeit, Details zu diesem Update zu erhalten und wie ich es eventuell selbst durchführen kann? Danke, Brunhilde Rosenbaum",1,Hardware
Dringendes Problem mit Lieferantenrechnungen,"Sehr geehrte Damen und Herren,
unser Lieferant hat Mahnungen zu den Rechnungen #204455 und #204456 geschickt. Diese sollten bereits bezahlt worden sein. Bitte überprüfen Sie dringend.
Danke,
Makbule Muth",3,Buchhaltung
Mitarbeiteranfrage bezüglich Arbeitsrecht,"Sehr geehrte Damen und Herren, könnten Sie mich bitte bezüglich arbeitsrechtlicher Fragestellungen im Kontext unserer Mitarbeiter beraten? Danke, Göran",2,Buchhaltung
Kleine Anpassung in IoT Security Konfiguration,"Sehr geehrte Damen und Herren, ich habe gesehen, dass es eine neue Konfigurationsmöglichkeit in IoT Security gibt, jedoch finde ich keine Option dafür im Menü. Können Sie mir hier weiterhelfen? Vielen Dank",1,Software
Zugriffsrechte auf Dokumente aktualisieren,"Sehr geehrtes Buchhaltungsteam, bitte aktualisieren Sie meine Zugriffsrechte für die Mitarbeiterdokumente im System. Vielen Dank im Voraus, Elli Klemm",1,Buchhaltung
Hilfe bei Malwarebytes 4.4 - Berichte funktionieren nicht richtig,"Sehr geehrte Damen und Herren, ich habe Probleme mit den Berichten in Malwarebytes 4.4. Diese werden nicht korrekt angezeigt und einige Daten fehlen. Ich brauche Klärung und Unterstützung. Mit freundlichen Grüßen, Barbara Hein",2,Software
Dringend: Yield Farming startet nach Update nicht mehr,"Hallo Kundensupport-Team, 
ich habe gestern das neueste Update für Yield Farming installiert, und seitdem startet die Software nicht mehr. Ich benutze die Software jeden Tag für meine Arbeit und benötige dringend eine Lösung, da der Stillstand gravierende Auswirkungen auf meine Projekte hat. Können Sie dies bitte so schnell wie möglich überprüfen und beheben?
Viele Grüße, 
Elmedina Wünsch",3,Software
Nicht klar: Rechnung Nr. 45783,"Hallo Buchhaltungs-Team,
ich habe Fragen zur Lieferantenrechnung Nr. 45783. Der Preis erscheint mir falsch. Könnten Sie das bitte klären?
Danke, Vera Voigt",2,Buchhaltung
Probleme mit Drupal 9 Plugin - Fehlermeldungen beim Hochladen,"Hallo Kundensupport, ich nutze die neueste Version von Drupal 9 und habe Schwierigkeiten mit einem Plugin. Beim Hochladen gibt es ständig Fehlermeldungen und das Plugin wird nicht installiert. Alle anderen Plugins funktionieren ohne Probleme. Können Sie mir bitte helfen? Vielen Dank! Fikriye Arnold",2,Software
Anfrage bezüglich Smart-Gewächshaus Update,"Hallo liebes Support-Team, ich bin interessiert an einem zukünftigen Software-Update für mein Smart-Gewächshaus. Muss ich dafür etwas vorbereiten oder wechseln Sie das automatisch? Vielen Dank auch für die bisherige hervorragende Arbeit! Beste Grüße, Georg Kaya",1,Hardware
Bildqualität des Laserprojektors ist mangelhaft,"Sehr geehrte Damen und Herren,

ich habe mir kürzlich Ihren Laserprojektor Modell LZ123-BX zugelegt. Leider habe ich festgestellt, dass die Bildqualität sehr zu wünschen übrig lässt, trotz korrekter Kalibrierung. Woran könnte das liegen? Ich brauche den Projektor dringend. Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
Ann-Sophie Klaus",2,Hardware
Dringende Anfrage – Rückerstattung Reisekosten,"Sehr geehrte Damen und Herren, ich benötige dringend Unterstützung bei der Rückerstattung meiner Reisekosten für die letzte Dienstreise nach Hamburg. Die eingereichten Belege wurden angeblich nicht erhalten. Bitte prüfen und korrigieren Sie den Vorgang. Kundennr.: FV-987654",3,Buchhaltung
Anfrage zu Produkt-Update Carbon Management,"Sehr geehrtes Support-Team, ich nutze Ihre Software Carbon Management und möchte wissen, ob in den kommenden Wochen eine neue Version veröffentlicht wird. Zudem interessiere ich mich für Details der geplanten Verbesserungen und neuen Features. Können Sie mich diesbezüglich informieren? Vielen Dank und freundliche Grüße, Erika Fischer",1,Software
Problem beim Aktualisieren von Website Builder,"Sehr geehrter Kundenservice, nach dem Update meines Website Builder auf die neueste Version erhalte ich ständig Fehler beim Speichern meiner Arbeit. Dies beeinträchtigt meine Projekte erheblich. Können Sie mir bitte helfen, dieses Problem zu beheben? Vielen Dank. Mit freundlichen Grüßen, Rene Ritter",2,Software
Satellite Module reagiert nicht mehr – Dringende Unterstützung erforderlich,"Sehr geehrte Damen und Herren, mein Satellite Module ist plötzlich abgestürzt und lässt sich nicht mehr einschalten. Ich habe alle üblichen Schritte zur Fehlerbehebung durchlaufen, doch nichts funktioniert. Ich benötige die Geräte dringend für meine Arbeit. Können Sie einen schnellen Austausch anbieten? Vielen Dank im Voraus für Ihre Hilfe. Mit freundlichen Grüßen, Cornelia Le",3,Hardware
PDM Software – Systemabsturz nach Update!,"Sehr geehrte Damen und Herren,

mein Name ist Haike Hopf und ich habe derzeit große Probleme mit Ihrer PDM Software. Nach dem gestrigen Update stürzt die Software ständig ab und lässt sich nicht mehr nutzen. Ich benötige die Anwendung dringend für meine Projekte und stecke jetzt in einer misslichen Lage! Könnten Sie mir bitte dringend weiterhelfen?

Vielen Dank im Voraus,
Haike Hopf",3,Software
Fehlermeldung bei Brother HL-L8360CDW - Gerät druckt nicht,"Sehr geehrte Damen und Herren,

mein Drucker Brother HL-L8360CDW druckt nach dem letzten Firmware-Update gar nicht mehr. Das Gerät zeigt nur noch eine Fehlermeldung an und lässt sich nicht zurücksetzen. Ich brauche den Drucker dringend für mein Geschäft.

Bitte helfen Sie mir umgehend!

Vielen Dank,
Franz Schubert",3,Hardware
Anfrage@Sustainability Software – Fehler im Bullshit Funktion,"Hallo, bei mir macht die Sustainability Software ständig Fehler, wenn ich die Bullshit Funktion nutze. Das beeinträchtigt meine Arbeit gravierend. Könnten Sie sich das bitte einmal ansehen? – Werner Otto",2,Software
Sehr zufrieden mit Ihrem Service,"Liebe Buchhaltungsabteilung,

ich wollte Ihnen nur mitteilen, wie zufrieden ich bisher mit Ihrem Service bin. Besonders möchte ich die schnelle Bearbeitung meiner Anliegen und die freundlichen Mitarbeiter hervorheben. Es ist schön zu wissen, dass meine Anliegen zügig und gewissenhaft bearbeitet werden. Vielen Dank dafür und weiter so!

Freundliche Grüße,
Carolin Schuster",1,Buchhaltung
Ersatzteil - Power Supply,"Sehr geehrte Damen und Herren, ich benötige für meine Workstation XYZ ein neues Power Supply. Können Sie mir ein entsprechendes Angebot zukommen lassen? Vielen Dank, Tamara Möller",1,Hardware
Angebot für Adobe Creative Suite Upgrade,"Sehr geehrte Damen und Herren, ich überlege, ein Upgrade von Adobe Creative Suite auf die neueste Version zu machen. Es ist nicht dringend, aber ich würde gerne wissen, wie viel das kosten würde und welche neuen Funktionen hinzugekommen sind. Vielen Dank im Voraus! Mit freundlichen Grüßen, Emine Lindner",1,Software
Probleme mit Mikrofon Audioqualität,"Sehr geehrtes Support-Team, ich habe ein Problem mit dem Mikrofon, das ich bei Ihnen gekauft habe (Bestellnummer ABC123456). Die Audioqualität ist sehr schlecht und es gibt ständig Störgeräusche. Ich benutze das Mikrofon für Zoom Meetings und das beeinträchtigt meine Arbeit enorm. Bitte um Hilfe. Beste Grüße, Nina Scherf",2,Hardware
Anfrage zum Datenschutz,Wie kann ich meine Daten bei Ihnen löschen lassen?,1,Buchhaltung
FatCow Software stürzt ab und blockiert gesamten Dienst,"Hallo Kundensupport,

nach dem letzten Update stürzt unsere FatCow Software ständig ab und verursacht völlig Arbeitsstop. Unsere Mitarbeiter sind ohne diese Umgebung nicht in der Lage vernünftig zu arbeiten. Wir benötigen umgehende Hilfe, um den Systembetrieb wiederherzustellen. Jeder Vorfall läuft unter Ticket: 457839

Vielen Dank,
Ber Stock",3,Software
Änderung der Rechnungsadresse,"Sehr geehrte Damen und Herren, bitte ändern Sie in Ihrer Datenbank die Rechnungsadresse für Yakup Senger auf IT-Support-Straße 12, 20359 Hamburg.",1,Buchhaltung
Kleine Frage zur Einstellung in Zoho Desk Admin Console,"Hallo Kundensupport,
kann ich Einstellungen in der Zoho Desk Admin Console verändern?
Mit freundlichen Grüßen,
August Bro",1,Software
Incident Management - Funktionalitätsproblem beim Hinzufügen von Anhängen,"Hallo Support-Team,

ich habe ein Problem mit Ihrem Incident Management Softwareprodukt. Seit dem letzten Update können unsere Mitarbeiter keine Anhänge mehr zu ihren Vorfällen hinzufügen. Wir haben mehrere Browser und Systeme getestet, aber das Problem bleibt bestehen. Könnten Sie bitte schnellstmöglich eine Lösung dafür bereitstellen? Wir sind auf diese Funktion dringend angewiesen. Vielen Dank im Voraus.

Mit besten Grüßen,
Fatmir Karl",2,Software
Fehler bei Sales Force Automation: Funktion 'Report generieren' unbrauchbar,"Sehr geehrte Damen und Herren, die Funktion 'Report generieren' zeigt ständig Fehler. Bitte um Hilfe.",2,Software
Mitarbeiteranfrage: Weiterbildungskurs für John Doe,"Hallo Support-Team, unser Mitarbeiter John Doe möchte an einem Weiterbildungskurs in Projektmanagement teilnehmen. Bitte prüfen Sie, ob hierfür noch Budget vorhanden ist und wie die Anmeldung zur Finanzierung des Kurses über unser Unternehmen erfolgt. Vielen Dank im Voraus, Mareile Ger",2,Buchhaltung
Dringende Bearbeitung meiner Umsatzsteuererklärung erforderlich,"Hallo Kundensupport,

ich habe ein dringendes Problem mit der Umsatzsteuererklärung der letzten beiden Monate. Die Zahlen stimmen nicht überein und könnten erhebliche steuerliche Konsequenzen nach sich ziehen. Bitte kümmern Sie sich umgehend darum, da die Einreichungsfrist unmittelbar bevorsteht und ich andernfalls rechtliche Konflikte befürchte.

Vielen Dank, Linde Petzold",3,Buchhaltung
Frage zu Datenschutz und meiner Rechnung,Welche Daten speichert ihr für meine Rechnungen?,1,Buchhaltung
Frage@Hardware: Mein Intel Core i9 erzeugt hohe Temperaturen,"Hallo liebes Technik-Team,

der Intel Core i9, den ich in meinem Build verbaut habe, wird beim Zocken sehr heiß. Ist das normal oder liegt eventuell ein Hardwarefehler vor? Gerne würde ich hierzu eure professionelle Meinung hören.

Dankeschön und beste Grüße,
Sabrina Friedrich",1,Hardware
Mixer - Geräusche beim Betrieb,"Sehr geehrte Damen und Herren, ich habe einen Mixer bei Ihnen gekauft (Bestellnr. 346722). Beim Betrieb macht das Gerät ungewöhnlich laute Geräusche, obwohl es ordnungsgemäß aufgebaut und eingesetzt wurde. Könnten Sie mir bitte sagen, ob es sich hierbei um ein bekanntes Problem handelt? Beste Grüße, Jacky Kleemann",1,Hardware
Beschwerde wegen nicht erhaltener Rechnung,"Sehr geehrte Damen und Herren, trotz mehrfacher Anfragen habe ich keine Rechnung erhalten. Bitte klären Sie dies umgehend.",2,Buchhaltung
Frage zur Arbeitsplatzsicherheit,"Hallo liebes Buchhaltungs-Team,

ich habe eine kleine Anfrage bezüglich der Arbeitsplatzsicherheit. Gibt es spezielle Regelungen oder Maßnahmen zu beachten? Eine kurze Information wäre sehr hilfreich.

Vielen Dank!
Fatime Wachter",1,Buchhaltung
GPS Tracking stürzt permanent ab - Dringend,"Sehr geehrte Damen und Herren,
mein GPS Tracking Programm verweigert dauernd den Dienst. Ich brauche es dringend für meine Arbeit im Außendienst. Eine Neuinstallation hat nicht geholfen. Bitte um schnelle Lösung!

Vielen Dank,
Fatih Loch",3,Software
Frage zum Beleuchtung verkauft Smart-Terrarium,"Hallo Support-Team, das verwendete Licht in Ihrem Smart-Terrarium scheint Probleme zu haben. Obwohl das Licht eingeschaltet ist, stellen wir fest, dass es zeitweise flackert. Könnten Sie uns sagen, ob dies ein bekanntes issue ist oder was wir tun können, um den Defekt zu beheben? Vielen Dank! Mit besten Grüßen, Timon Nagy",1,Hardware
Frage zu Updates für Location-based Services,"Sehr geehrte Damen und Herren, könnte ich in Erfahrung bringen, ob für Location-based Services ein Update verfügbar ist?",1,Software
Frage zu App Store Optimization,"Sehr geehrte Damen und Herren, könnten Sie mir bitte mitteilen, ob für das Produkt 'App Store Optimization' dieses Jahr ein Update geplant ist? Vielen Dank, Erna Aschenbrenner.",1,Software
Rechnungsfrage zur letzten Transaktion,"Hallo Buchhaltung, ich bitte um eine Klärung der letzten Rechnung Nr. 45231-120. Es scheint, als wäre der Betrag falsch berechnet worden. Freundliche Grüße, Regina Böhm",2,Buchhaltung
Anfrage zur Umstellung der kommenden Rechnung,"Sehr geehrte Damen und Herren, ich benötige Ihre Hilfe bei einer kleinen Änderung. Könnten Sie bitte sicherstellen, dass auf meiner nächsten Rechnung statt ‚Verena Lang' der Unternehmensname ‚Lang Design GmbH' vermerkt wird? Besten Dank vorab und freundliche Grüße, Verena Lang",1,Buchhaltung
Probleme mit FL Studio 20.8 nach Update,"Hallo Support-Team, seit dem letzten Update von FL Studio 20.8 stürzt das Programm immer wieder ab und ich kann meine Projekte nicht mehr speichern. Das betrifft meine Arbeit sehr. Bitte um schnelle Hilfe, danke! MfG, Madita Akin",2,Software
Zugriffsrechte für Mitarbeiteranfragen,"Hallo Support-Team, wir haben eine neue Mitarbeiterin bei uns in der Buchhaltung. Bitte stellt ihr die entsprechenden Zugriffsrechte für Mitarbeiteranfragen im IT-Support bereit. Sie heißt Kessy Pe und ihr Benutzername ist kpe23. Vielen Dank im Voraus! Mit freundlichen Grüßen, Finance Team",1,Buchhaltung
Rücksendung - Bestellung #897654321,"Sehr geehrte Damen und Herren, ich habe kürzlich einen Artikel unter der Bestellnummer #897654321 bestellt und möchte diesen nun zurücksenden. Der Artikel entspricht nicht meinen Erwartungen und wurde in originaler Verpackung belassen. Können Sie mir bitte die genaue Rücksendeadresse und die nächsten Schritte mitteilen? Vielen Dank im Voraus! Adrian Kaplan",2,Buchhaltung
Dringend: Zugriff auf Trezor Suite nicht möglich,"Sehr geehrtes Support-Team, ich kann seit heute Morgen nicht mehr auf meine Trezor Suite zugreifen, obwohl alle Anmeldedaten korrekt sind. Bitte dringend um Hilfe.",3,Software
Frage zum Update von PrestaShop Back Office,"Hallo Kundensupport,

ich plane in den nächsten Wochen ein Update für mein PrestaShop Back Office durchzuführen, bin aber nicht sicher, welche Version die optimale ist. Könnten Sie mich hierzu beraten?

Beste Grüße,
Michael Yilmaz",1,Software
Backup-Anfrage zu Bamboo Version 3.9.5,"Hallo Support-Team, ich würde gerne ein automatisiertes Backup für unser aktuelles Software-Produkt Bamboo (Version 3.9.5) einrichten, finde aber keine Anleitung dazu. Können Sie mir ein Dokument oder eine Anleitung zur Verfügung stellen? Vielen Dank, Nga Fritzsche",1,Software
Fehlermeldung bei Lightroom Classic - Anfrage,"Sehr geehrter Kundensupport, 
mein Name ist Claudia Böttcher. Ich habe ein Problem mit Lightroom Classic, bei dem ständig eine Fehlermeldung erscheint, sobald ich versuche, meine RAW-Bilder zu importieren. Können Sie mir bitte weiterhelfen und eine Lösung für dieses Problem anbieten? Vielen Dank im Voraus.
Mit freundlichen Grüßen,
Claudia Böttcher",2,Software
PCIe Card fehlerhaft?,"Sehr geehrte Damen und Herren, mein gestern bei Ihnen bestellter PCIe Card funktioniert nicht. Obwohl korrekt eingebaut, wird sie nicht erkannt und verursacht Systemabstürze. Könnten Sie schnellstmöglich Unterstützung bieten? Freundliche Grüße, Klaus-Peter Jacobsen",3,Hardware
Stornierung meiner letzten Bestellung erforderlich,"Liebes Support-Team,
ich möchte um die Stornierung meiner letzten Bestellung (#3256879) bitten. Der Betrag wurde bereits auf meiner Kreditkarte belastet. Wie gehen wir hier weiter vor?
Danke, Silvia Diener",1,Buchhaltung
Problem mit Kajabi – Seite lädt nicht richtig,"Hallo Kundensupport,

ich habe Probleme mit meiner Kajabi-Webseite. Die Seite lädt sehr langsam und manche Funktionen scheinen nicht richtig zu funktionieren. Ich habe bereits meinen Cache geleert und verschiedene Browser ausprobiert. Woran könnte das liegen und können Sie bitte helfen?

Vielen Dank,
Witali Nitsch",2,Software
Problem mit Reporting Tools - Fehlermeldungen,"Sehr geehrte Damen und Herren, ich habe Probleme mit Ihrem Reporting Tools Produkt. Beim Generieren von Berichten erhalte ich mehrere Fehlermeldungen, die ich nicht beheben kann. Könnten Sie mir bitte dabei helfen? Anbei habe ich Screenshots der Fehlermeldungen angehängt. Vielen Dank im Voraus und freundliche Grüße, Selcuk Sa",2,Software
Problem mit XLR-Mikrofon - Stromversorgung instabil,"Hallo Support, mein XLR-Mikrofon hat gelegentlich Aussetzer bei der Stromversorgung. Was kann ich tun? Liebe Grüße, Nadine Le",1,Hardware
Anfrage für kleines Software-Update,"Hallo Kundensupport, können Sie mir sagen, ob und wann ich ein kleines Update für JIRA erhalten könnte? Vielen Dank, Deniz Beck",1,Software
Frage zur API-Integration in Apache Cassandra,"Sehr geehrte Damen und Herren, Ich habe kürzlich Apache Cassandra installiert und plane die API zu integrieren. Gibt es eine Schritt-für-Schritt-Anleitung? Vielen Dank und Grüße, Mehmet Lorenz",1,Software
[Dringend] Hilfe benötigt mit SEO Tools – kann mich nicht einloggen,"Sehr geehrte Damen und Herren,
seit dem letzten Update kann ich mich nicht mehr in mein SEO Tools Konto einloggen. Ich nutze es täglich für meine Arbeit ab und dieser Zustand ist gerade sehr problematisch für mich.
Bitte Dringend um Hilfe!
Herbert Winkler",3,Software
Dringend: Dashboards Login-Abbruch,"Hallo Supportteam, ich kann mich bei Dashboards nicht mehr einloggen, obwohl Passwort und Benutzername korrekt sind. Bitte um schnelle Hilfe!",3,Software
Problem mit meinem Microphone X100,"Hallo Kundensupport,
ich habe mir vor kurzem das Microphone X100 bei Ihnen bestellt und es scheint ein Problem zu geben. Der Ton ist sehr verzerrt und ich höre ein konstantes Brummen im Hintergrund. Könnten Sie bitte überprüfen, woran das liegen könnte?
Vielen Dank!
Angi Baumann",2,Hardware
App Store Optimization startet nicht,"Guten Tag, die Software startet nicht mehr und hängt im Ladebildschirm. Bitte dringend um Hilfe!",3,Software
Angebotsanfrage für Business-Software,"Sehr geehrte Damen und Herren, ich interessiere mich für Ihre Business-Software und hätte gerne ein unverbindliches Angebot. Speziell interessieren mich die Pakete für mittelständische Unternehmen und die darin inbegriffenen Support-Leistungen. Bitte informieren Sie mich über Preise und Vertragskonditionen. Eine schnelle Antwort ist nicht dringend. Mit freundlichen Grüßen, Jaroslaw Black",1,Buchhaltung
Rechnungsfrage zur letzten Transaktion,"Sehr geehrte Damen und Herren, ich habe am 05.10.2023 eine Transaktion mit der ID 593015 durchgeführt, jedoch scheint der Betrag doppelt abgebucht worden zu sein. Bitte prüfen Sie das und veranlassen Sie die Korrektur. Vielen Dank und mit freundlichen Grüßen, Adrian Riedel",2,Buchhaltung
VGA-Kabel zeigt kein Bild auf dem Monitor,"Sehr geehrte Damen und Herren, 
ich habe nach längerer Zeit mein VGA-Kabel ausprobiert und es zeigt kein Bild auf dem Monitor. Ich habe verschiedene Monitore und Geräte ausprobiert, jedoch ohne Erfolg. Haben Sie eine Idee, woran das liegen könnte, oder soll ich das Kabel einsenden? Danke! 
Mit freundlichen Grüßen, 
Mad Schwan",1,Hardware
